
qstr_Next_Page|下 一 页 
qstr___{reg1}_denars_per_|（ 每 晚 {reg1}第 纳 尔 ） 
qstr_Moreover_you_earn_{|此 外 ， 你 明 智 的 为 自 己 下 注 ， 赢 得 了 {reg8}第 纳 尔 。
qstr_Victory_is_yours!_Yo|你 赢 了 ！ 你 在 这 场 混 战 中 获 胜 了 ，但 是 你 得 准 备 好 进 入 下 一 轮 比 赛 。 
qstr_You_have_been_bested|你 在 混 战 中 被 打 败 了 ，但 是 竞 技 场 老 板 相 当 认 可 你 的 技 能 和 勇 气 ，允 许 你 进 入 下 一 轮 比 赛 。 
qstr_{!}{s11}^{s12}|{!}{s11}^{s12}
qstr_You_were_beaten._The|你 被 打 败 了 ，这 些 农 民 被 他 们 的 胜 利 所 鼓 舞 ，但 他 们 可 能 没 有 真 正 掌 握 你 想 教 授 的 技 巧 …… 
qstr_After_beating_your_l|在 你 击 倒 最 后 一 个 对 手 后 ，你 向 这 些 农 民 解 释 怎 样 更 好 的 防 御 这 样 的 一 次 攻 击 。 希 望 他 们 能 接 受 这 些 经 验 并 为 下 一 次 做 好 准 备 。 
qstr_The_bandits_are_brok|这 些 强 盗 被 打 败 了 ！ 那 些 还 活 着 的 和 意 识 还 清 醒 的 都 夹 着 尾 巴 逃 跑 了 ，他 们 惧 怕 这 些 农 民 和 他 们 的 新 保 卫 者 。 
qstr_{s1}_s_Ship|{s1}的 船 
qstr_{!}DEBUG___{s1}|{!}调 试 ：{s1}
qstr_However_{reg3?You_a|但 是 ， {reg3?你 :{s1}}找 不 到 任 何 能 够 盈 利 的 商 品 。
qstr_^Buying_{s4}_here_an|^ 在 这 里 购 买 {s4}然 后 倒 卖 到 {s5} ，将 会 获 得 每 件 商 品 {reg6}第 纳 尔 的 利 润 。 {s3}
qstr_{reg3?You_find:{s1}_|{reg3?你 :{s1}}找 到 了 下 列 物 品 ： ^{s3}
qstr_{s1}^{reg0}:_{s2}|{s1}^{reg0}：{s2}
qstr_{s2}^{reg2?:{reg1}_}|{s2}^{reg2?:{reg1} }{s1} 获 得 了 {reg0} 点 经 验 。 
qstr_{s2}^{s1}_earned_an_|{s2}^{s1}获 得 了 {reg0}点 额 外 经 验 。 
qstr_^You_earned_{reg0}_e|^ 你 获 得 了 {reg0}点 经 验 。 {s2}
qstr_The_training_didn_t_|训 练 进 行 得 很 糟 糕 。 
qstr_The_training_didn_t_g|训 练 进 行 得 不 太 好 。 
qstr_The_training_went_qu|训 练 进 行 得 很 好 。 
qstr_The_training_went_ve|训 练 进 行 得 非 常 好 。 
qstr_The_training_went_pe|训 练 进 行 得 很 完 美 。 
qstr_{s13}_asked_you_to_r|{s13}要 求 你 带 着 至 少 {reg13}人 去 向 他 报 告 。 
qstr_{s13}_ordered_you_to|{s13}命 令 你 参 加 对 {s14}的 攻 击 。 
qstr_There_has_been_an_al|有 一 份 边 境 事 件 报 告 ： {s9}
qstr_{!}{s11}{s12}|{!}{s11}{s12}
qstr_{!}DEBUG____Hours_si|{!}调 试 ：距 离 上 次 举 办 宴 会 的 小 时 数 ：{reg4}
qstr_^^Note_that_so_long_|^^注 意 只 要 你 还 在 做 元 帅 ，这 个 国 家 的 领 主 们 都 会 等 着 让 你 率 领 他 们 发 起 战 役 。 所 以 ，如 果 你 正 在 准 备 一 场 宴 会 ，或 者 是 婚 礼 以 及 其 它 活 动 ，你 也 许 要 去 和 你 的 领 主 谈 谈 来 辞 去 元 帅 的 职 务 。 
qstr__Unfortunately_when|不 幸 的 是 ， 守 卫 前 来 询 问 有 关 酒 馆 斗 殴 的 情 况 时 ， 你 的 描 述 暴 露 了 你 ， 并 且 你 无 法 打 倒 他 们 。
qstr_Try_as_you_might_you|不 论 你 怎 么 努 力 ，你 都 没 有 能 镇 压 叛 乱 的 村 庄 。
qstr_{reg0}|{reg0}
qstr_positive|积 极 的 
qstr_negative|消 极 的 
qstr_{s11}^^_The_current_|{s11}^^ 当 前 有 大 约 {reg5}名 守 军 。 ^守 军 粮 草 可 维 持 {reg6}天 。 
qstr_^^Additional_the_fol|^^此 外 ，下 列 部 队 当 前 正 驻 扎 其 中 ： ^
qstr_{s12}_{s3}_with_{reg|{s12}{s3}带 着 {reg1}部 队 。 ^
qstr_{playername}_^^I_al|{playername}, ^^从 你 向 我 的 家 族 起 誓 的 那 一 天 起 ， 我 一 直 觉 得 你 不 是 个 好 人 。 ^ 你 真 的 以 为 你 可 以 让 我 的 家 族 与 我 反 目 成 仇 ？ 你 已 经 放 下 了 你 的 面 具 ， 你 这 条 毒 蛇 ！ 你 是 罪 恶 的 源 头 ， 我 不 会 对 此 有 丝 毫 的 容 忍 。 ^据 此 ， 我 将 断 绝 我 们 家 族 与 你 的 所 有 联 系 。 我 已 经 敦 促 我 的 家 族 与 你 为 敌 ， 并 且 还 会 将 你 的 恶 行 通 告 给 所 有 的 卡 拉 迪 亚 领 主 。 ^战 栗 吧 ， 你 将 面 对 一 位 致 命 的 敌 人 ！ ^^{s9}.
qstr_{playername}^^_I_ve|{playername},^^我 收 到 了 一 封 来 自 {s9}的 信 ， 揭 露 了 你 可 耻 的 欺 骗 行 为 。 当 前 形 势 下 ， {s9}无 法 提 供 证 据 。 但 和 你 不 同 的 是 ， {reg1?她 :他 }是 我 家 族 中 卓 著 的 一 员 ； 而 且 这 么 多 年 以 来 ， 我 没 有 任 何 理 由 不 信 任 {reg1?她 :他 }。 我 理 所 当 然 的 相 信 {reg1?她 :他 }对 你 的 指 控 。^很 庆 幸 ， 你 分 裂 我 家 族 的 企 图 没 有 得 逞 。 据 此 我 要 回 绝 你 的 誓 言 ： 你 和 我 的 家 族 不 再 有 任 何 联 系 。 每 一 位 家 族 成 员 都 会 与 你 为 敌 。 承 认 被 你 恶 意 愚 弄 将 使 我 蒙 羞 ， 所 以 我 不 会 和 你 叫 板 ， 以 避 免 使 我 的 {s11}为 你 的 死 亡 负 责 。 然 而 ， 我 不 常 告 诉 {reg0?她 :他 }我 在 荒 野 里 的 某 处 宰 了 多 少 只 老 鼠 ， 终 有 一 天 我 会 在 那 找 到 你 的 尸 体 。 ^^{s10}
qstr_{!}{s0}^^_WARNING:_U|{!}{s0}^^ 警 告 ：不 支 持 的 版 本 号 ： {reg0}
qstr_{!}{s0}^^_DEBUG:_Int|{!}{s0}^^ 调 试 ：存 档 版 本 号 为 {reg0}。 模 组 版 本 号 为 160501 。
qstr_{playername}|{playername}
qstr_Troops:_{reg1}|士 兵 : {reg1}
qstr_Prosperity_Report^|繁 荣 度 报 告 ^
qstr_Total|总 计 
qstr_{s0}^{s1}_Average_To|{s0}^{s1}城 镇 平 均 繁 荣 :{reg0}
qstr_{s0}^{s1}_towns_with|{s0}^{s1}城 镇 的 繁 荣 80-100 ： {reg0}
qstr_{s0}^{s1}_towns_with_|{s0}^{s1}城 镇 的 繁 荣 60-79 ： {reg0}
qstr_{s0}^{s1}_towns_with_p|{s0}^{s1}城 镇 的 繁 荣 40-59 ： {reg0}
qstr_{s0}^{s1}_towns_with_pr|{s0}^{s1}城 镇 的 繁 荣 20-39 ： {reg0}
qstr_{s0}^{s1}_towns_with_pro|{s0}^{s1}城 镇 的 繁 荣 0-19 ： {reg0}
qstr_{!}{s0}^|{!}{s0}^
qstr_{s0}^{s1}_Average_Vi|{s0}^{s1}村 庄 平 均 繁 荣 :{reg0}
qstr_{s0}^{s1}_villages_w|{s0}^{s1}村 庄 的 繁 荣 80-100 ： {reg0}
qstr_{s0}^{s1}_villages_wi|{s0}^{s1}村 庄 的 繁 荣 60-79 ： {reg0}
qstr_{s0}^{s1}_villages_wit|{s0}^{s1}村 庄 的 繁 荣 40-59 ： {reg0}
qstr_{s0}^{s1}_villages_with|{s0}^{s1}村 庄 的 繁 荣 20-39 ： {reg0}
qstr_{s0}^{s1}_villages_with_|{s0}^{s1}村 庄 的 繁 荣 0-19 ： {reg0}
qstr_{reg1}/{reg2}:_{s1}|{reg1}/{reg2}：{s1}
qstr_{s1}^{reg1}:_{reg0}|{s1}^{reg1}：{reg0}
qstr_{reg1}:_{s1}_{s2}_c|{reg1}: {s1}，{s2}被 归 为 等 级 {reg2} {s3} {s4}
qstr_{s1}^becomes_{s2}|{s1}^成 为 了 {s2}
qstr_{s1}_and_{s2}|{s1}和 {s2}
qstr_{s1}^costs_{reg11}_t|{s1}^花 费 {reg11}以 获 得 {reg10} xp 
qstr_{s1}^wage_of_{reg12}|{s1}^{reg12}的 薪 水 ， 买 进 花 费 {reg13} 卖 出 花 费 {reg14}
qstr_{s1}_is_a_{s2}|{s1}是 一 个 {s2}
qstr_{s1}_with_{reg1}_gol|{s1}持 有 {reg1}资 金 
qstr_{s2}^{reg1}:_{reg0}|{s2}^{reg1}： {reg0}
qstr_You_cannot_bring_tha|你 不 能 携 带 太 多 物 品 。 你 的 物 品 已 被 放 回 物 品 栏 中 。 
qstr_Select_a_suitable_di|请 根 据 所 处 场 合 选 择 一 种 合 适 的 伪 装 。
qstr_As_a_poor_pilgrim_wi|伪 装 成 一 个 贫 苦 的 朝 圣 者 ， 持 有 一 根 结 实 的 木 棍 和 一 些 藏 在 袖 管 里 的 “ 小 把 戏 ” 。 你 可 以 混 入 人 群 但 不 能 携 带 贵 重 物 品 。
qstr_As_a_farmer_you_wil|伪 装 成 一 个 农 民 ， 你 可 以 贩 卖 牲 口 并 走 私 食 物 。
qstr_As_a_hunter_provisi|伪 装 成 一 个 猎 人 ， 你 可 以 兜 售 食 物 、 原 料 或 者 马 肉 。
qstr_As_a_caravan_guard_|伪 装 成 一 个 商 队 护 卫 ， 你 可 以 持 有 武 器 ， 但 只 能 携 带 少 量 物 品 。
qstr_As_a_merchant_you_w|伪 装 成 一 个 商 人 ， 你 可 以 携 带 任 何 商 品 。
qstr_As_a_bard_you_will_|伪 装 成 一 个 吟 游 诗 人 ， 你 可 以 携 带 部 分 个 人 物 品 和 你 的 乐 器 。
qstr_getting_fucked|被 FUCK 
qstr_fucking_the_mouth|口 交 
qstr_watching|观 看 
qstr_fucking|FUCK 
qstr_{s1}^{reg0}:_No_one|{s1}^{reg0}: 无 人 
qstr_AAAAAAAAAAAAAAAAAAAA|AAAAAAAAAAAAAAAAAAAA 
qstr_BAAAAAAAAAAAAAAAAAAA|BAAAAAAAAAAAAAAAAAAA 
qstr_AAAAAAAAAAAAAAAAAAAB|AAAAAAAAAAAAAAAAAAAB 
qstr_AAAAAAAAAAAAAAAAAAAC|AAAAAAAAAAAAAAAAAAAC 
qstr_banner_mesh:_{reg0}|旗 帜 网 格 ： {reg0}
qstr_AAAAAA|AAAAAA 
qstr_BBBBB|BBBBB 
qstr_{s5}_s_party_held_a|{s5}的 部 队 ，作 为 一 个 俘 虏 
qstr_{s5}_s_party|{s5}的 部 队 
qstr_{s5}_s_party_held_as|{s5}的 部 队 ，作 为 一 个 俘 虏 
qstr_{s5}_held_as_a_pris|{s5}，作 为 一 个 俘 虏 
qstr_You_sold_{reg0}_girl|你 将 {reg0} 个 姑 娘 送 进 了 会 馆 。
qstr_Tavern_and_Bath_hous|位 于 {s0} 的 “ 休 闲 ” 会 馆 。
qstr_{reg0}_parties_remov|{reg0} 支 部 队 从 地 图 上 被 移 除 了 。
qstr_You_employed_{reg0}_|你 的 会 馆 雇 佣 了 {reg0} 个 姑 娘 。
qstr_Tavern_and_Bath_house|休 闲 会 馆 
qstr_AAAAA|AAAAA 
qstr_CCCCCC|CCCCCC 
qstr_{s5}_:_{reg0}|{s5}：{reg0}
qstr_{reg1}_{reg0}|{reg1} {reg0}
qstr_{reg0}_{reg1}|{reg0} {reg1}
qstr_debt:_{reg0}_quest_g|债 务 ： {reg0}需 要 部 队 ： {reg1} {s1}
qstr_do_lady_quests_even_|女 士 的 请 求 会 TMD 有 用 吗 ？
qstr_do_lady_quests_even_f|女 士 的 请 求 会 TMD 有 用 吗 ？1 
qstr_do_lady_quests_even_fu|女 士 的 请 求 会 TMD 有 用 吗 ？2 
qstr_do_lady_quests_even_fuc|女 士 的 请 求 会 TMD 有 用 吗 ？3 
qstr_basic_requirements_m|基 本 要 求 满 足 
qstr_random_enemy_troop_n|随 机 敌 方 部 队 未 击 败 
qstr_target_troop_found|发 现 目 标 部 队 
qstr_quest_conditions_met|任 务 条 件 达 成 
qstr_{reg0}_{s0}|{reg0} {s0}
qstr_{s0}_reputation:_{re|{s0} 声 望 ： {reg1}
qstr_{s9}_asked_you_to_len|{s9}要 求 你 把 同 伴 {s3}借 给 {reg65?她 :他 }一 周 。
qstr_You_are_challenging_m|你 在 向 我 发 起 决 斗 ？！ 可 笑 至 极 ！ 如 你 所 愿 ， {playername}，揍 扁 你 的 脑 袋 将 是 项 不 错 的 运 动 。
qstr_random_enemy_troop_f|发 现 随 机 敌 方 部 队 
qstr_s0|s0 
qstr_new_steppe_bandit_pa|已 生 成 新 的 草 原 强 盗 
qstr_new_steppe_bandit_la|已 生 成 新 的 草 原 强 盗 据 点 
qstr_{s0}_{reg0}|{s0} {reg0}
qstr_stack_{reg4}|堆 叠 {reg4}
qstr_removed_{reg0}_priso|移 除 {reg0} 个 俘 虏 
qstr__Your_{reg1?capital_i|你 的 {reg1?首 都 :宫 廷 }在 这 {reg0?: ，你 的 配 偶 {s0}也 在 其 中 }。
qstr_Very_well._From_this|很 好 。 从 这 一 刻 起 我 将 是 {s17}新 的 {reg65?领 主 :夫 人 }。
qstr_Very_well._From_this_|很 好 。 从 这 一 刻 起 我 将 是 {s17}新 的 {reg65?领 主 :夫 人 }。
qstr_You|你 
qstr_Your_wounds_are_too_|你 伤 势 过 重 无 法 战 斗 。
qstr_display|显 示 
qstr_party_attached|部 队 已 合 流 
qstr_main_party|主 力 部 队 
qstr_player_kingdom|玩 家 王 国 
qstr_marshall_{reg0}|元 帅 {reg0}
qstr_good_relations|良 好 关 系 
qstr_misc_party|混 成 部 队 
qstr_misc_party_attached|混 成 部 队 已 合 流 
qstr_{s0}_will_{reg0?not:|{s0}将 {reg0?:不 再 }服 从 你 的 命 令 
qstr_ally_party|友 军 部 队 
qstr_party_active_{reg0}|现 役 部 队 ， {reg0}
qstr_{s0}_will_{reg0?:not}|{s0}将 {reg0?:不 再 }服 从 你 的 命 令 
qstr_{s0}_will_{reg0?not_|{s0}将 {reg0?:不 再 }服 从 你 的 命 令 
qstr_{s0}_will_{reg0?not_:|{s0}将 {reg0?:不 再 }服 从 你 的 命 令 
qstr_Required_Charisma:_{|需 要 魅 力 ： {reg0}
qstr_break|劫 狱 
qstr_allies_storm_the_tow|你 的 盟 友 突 袭 了 城 镇 并 将 你 从 狱 中 解 救 了 出 来 。
qstr_captors_exchange_you|抓 捕 者 用 你 交 换 了 另 一 名 囚 犯 。
qstr_as_{s13}_is_no_longe|{s13}已 不 在 敌 人 手 中 。
qstr_when_your_captors_ex|当 抓 捕 者 用 你 交 换 了 另 一 名 囚 犯 的 时 候 。
qstr__{reg0}| {reg0}
qstr_Food_Consumption|食 物 消 耗 
qstr_{reg2}|{reg2}
qstr_Your_party_will_{reg|你 的 部 队 {reg1?将 :不 再 }食 用 {s0}
qstr_You_have_an_outstand|你 有 一 笔 金 额 为 {reg1}第 纳 尔 的 债 务 需 要 偿 还 给 {s15}
qstr_color_{reg0}|颜 色 {reg0}
qstr_color_{reg0}_{s0}|颜 色 {reg0}，{s0}
qstr_{reg0}_{s0}1|{reg0}，{s0}
qstr_urmum|泥 马 
qstr_root_ur_mum|草 泥 马 
qstr_check1|检 查 1 
qstr_check2|检 查 2 
qstr_check3|检 查 3 
qstr_check0|检 查 0 
qstr_current_talk_context|当 前 对 话 内 容 ： {reg0}
qstr_test1|测 试 1 
qstr_sister_check1|姐 妹 检 查 1 
qstr_sister_check2|姐 妹 检 查 2 
qstr_sister_check3|姐 妹 检 查 3 
